,Survived,Pclass,Sex,Age,Fare,Embarked,SP
0,0,3,male,22.0,7.25,S,1
1,1,1,female,38.0,71.2833,C,1
2,1,3,female,26.0,7.925,S,0
3,1,1,female,35.0,53.1,S,1
4,0,3,male,35.0,8.05,S,0
5,0,3,male,26.0,8.4583,Q,0
6,0,1,male,54.0,51.8625,S,0
7,0,3,male,2.0,21.075,S,4
8,1,3,female,27.0,11.1333,S,2
9,1,2,female,14.0,30.0708,C,1
10,1,3,female,4.0,16.7,S,2
11,1,1,female,58.0,26.55,S,0
12,0,3,male,20.0,8.05,S,0
13,0,3,male,39.0,31.275,S,6
14,0,3,female,14.0,7.8542,S,0
15,1,2,female,55.0,16.0,S,0
16,0,3,male,2.0,29.125,Q,5
17,1,2,male,31.0,13.0,S,0
18,0,3,female,31.0,18.0,S,1
19,1,3,female,31.0,7.225,C,0
20,0,2,male,35.0,26.0,S,0
21,1,2,male,34.0,13.0,S,0
22,1,3,female,15.0,8.0292,Q,0
23,1,1,male,28.0,35.5,S,0
24,0,3,female,8.0,21.075,S,4
25,1,3,female,38.0,31.3875,S,6
26,0,3,male,26.0,7.225,C,0
27,0,1,male,19.0,263.0,S,5
28,1,3,female,18.0,7.8792,Q,0
29,0,3,male,26.0,7.8958,S,0
30,0,1,male,40.0,27.7208,C,0
31,1,1,female,41.5,146.5208,C,1
32,1,3,female,18.0,7.75,Q,0
33,0,2,male,66.0,10.5,S,0
34,0,1,male,28.0,82.1708,C,1
35,0,1,male,42.0,52.0,S,1
36,1,3,male,26.0,7.2292,C,0
37,0,3,male,21.0,8.05,S,0
38,0,3,female,18.0,18.0,S,2
39,1,3,female,14.0,11.2417,C,1
40,0,3,female,40.0,9.475,S,1
41,0,2,female,27.0,21.0,S,1
42,0,3,male,26.0,7.8958,C,0
43,1,2,female,3.0,41.5792,C,3
44,1,3,female,19.0,7.8792,Q,0
45,0,3,male,26.0,8.05,S,0
46,0,3,male,26.0,15.5,Q,1
47,1,3,female,18.0,7.75,Q,0
48,0,3,male,26.0,21.6792,C,2
49,0,3,female,18.0,17.8,S,1
50,0,3,male,7.0,39.6875,S,5
51,0,3,male,21.0,7.8,S,0
52,1,1,female,49.0,76.7292,C,1
53,1,2,female,29.0,26.0,S,1
54,0,1,male,65.0,61.9792,C,1
55,1,1,male,40.0,35.5,S,0
56,1,2,female,21.0,10.5,S,0
57,0,3,male,28.5,7.2292,C,0
58,1,2,female,5.0,27.75,S,3
59,0,3,male,11.0,46.9,S,7
60,0,3,male,22.0,7.2292,C,0
61,1,1,female,38.0,80.0,S,0
62,0,1,male,45.0,83.475,S,1
63,0,3,male,4.0,27.9,S,5
64,0,1,male,40.0,27.7208,C,0
65,1,3,male,4.0,15.2458,C,2
66,1,2,female,29.0,10.5,S,0
67,0,3,male,19.0,8.1583,S,0
68,1,3,female,17.0,7.925,S,6
